Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
5_8S_rRNA	48.68	rRNA	20	29741510	29741661	151
5S_rRNA	51.61	rRNA	17	36491199	36491322	123
7SK	53.41	misc_RNA	CHR_HSCHR5_4_CTG1_1	125350868	125351131	263
A1BG	55.83	protein_coding	19	58345178	58353499	8321
A1BG-AS1	55.91	antisense	19	58347751	58355183	7432
A1CF	36.24	protein_coding	10	50799409	50885675	86266
A2M	37.18	protein_coding	12	9067664	9116229	48565
A2M-AS1	48.34	antisense	12	9065177	9068060	2883
A2ML1	44.25	protein_coding	12	8822472	8887001	64529
A2ML1-AS1	44.16	antisense	12	8776219	8830947	54728
A2ML1-AS2	48.89	antisense	12	8819816	8820713	897
A2MP1	37.03	transcribed_unprocessed_pseudogene	12	9228533	9275817	47284
A3GALT2	54.19	protein_coding	1	33306766	33321098	14332
A4GALT	52.39	protein_coding	22	42692121	42721298	29177
A4GNT	42.65	protein_coding	3	138123718	138132387	8669
AA06	46.05	sense_intronic	17	33529787	33533760	3973
AAAS	49.39	protein_coding	12	53307456	53324864	17408
AACS	51.22	protein_coding	12	125065379	125143333	77954
AACSP1	48.81	transcribed_unprocessed_pseudogene	5	178764861	178818435	53574
AADAC	35.33	protein_coding	3	151814037	151828488	14451
AADACL2	35.30	protein_coding	3	151733916	151761339	27423
AADACL2-AS1	36.95	antisense	3	151751443	151928175	176732
AADACL3	46.11	protein_coding	1	12716115	12728759	12644
AADACL4	47.24	protein_coding	1	12644547	12667086	22539
AADACP1	33.97	transcribed_unprocessed_pseudogene	3	151770428	151784894	14466
AADAT	38.78	protein_coding	4	170060222	170091699	31477
AAED1	43.40	protein_coding	9	96639577	96655303	15726
AAGAB	39.49	protein_coding	15	67201033	67255195	54162
AAK1	41.95	protein_coding	2	69457995	69674349	216354
AAMDC	41.82	protein_coding	11	77821109	77918432	97323
AAMP	56.53	protein_coding	2	218264123	218270257	6134
AANAT	53.01	protein_coding	17	76453351	76470117	16766
AAR2	47.41	protein_coding	20	36236459	36270918	34459
AARD	43.15	protein_coding	8	116938199	116944487	6288
AARS	49.47	protein_coding	16	70252295	70289543	37248
AARS2	54.66	protein_coding	6	44299654	44313326	13672
AARSD1	48.21	protein_coding	17	42950526	42964498	13972
AARSP1	49.89	processed_pseudogene	4	132592084	132592536	452
AASDH	38.98	protein_coding	4	56338287	56387508	49221
AASDHPPT	36.57	protein_coding	11	106075501	106098710	23209
AASS	36.48	protein_coding	7	122075647	122144280	68633
AATF	40.51	protein_coding	CHR_HSCHR17_7_CTG4	36950708	37058703	107995
AATK	61.42	protein_coding	17	81117295	81166077	48782
AATK-AS1	56.74	antisense	17	81165507	81183164	17657
AB015752.3	38.39	lincRNA	8	90534611	90620070	85459
AB019438.66	58.16	unprocessed_pseudogene	14	106436415	106436555	140
